spi,method,signature,status,adapter,caller_evidence,deletion_gate
ArchivedDatasetFileDao,getEntityFromHashMap,Object getEntityFromHashMap(HashMap hm),removed,,app/src/test/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapterTest.java:237:        StudyBean bean = (StudyBean) adapter.getEntityFromHashMap(row);; app/src/test/java/org/researchedc/module/rule/internal/adapter/RuleDaoAdapterTest.java:176:        RuleBean bean = (RuleBean) adapter.getEntityFromHashMap(row);; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:58:    public Object getEntityFromHashMap(HashMap hm);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:34:    Object getEntityFromHashMap(HashMap hm);; shared/src/main/java/org/researchedc/dao/spi/ICrfDAO.java:43:    Object getEntityFromHashMap(HashMap hm);; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:86:    public Object getEntityFromHashMap(HashMap hm) {; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyParameterValueDaoAdapter.java:217:    public Object getEntityFromHashMap(HashMap hm) {; shared/src/main/java/org/researchedc/dao/spi/ISectionDAO.java:21:    public Object getEntityFromHashMap(HashMap hm);,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findByPK,EntityBean findByPK(int id),module-backed,,app/src/test/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapterTest.java:66:        StudyBean bean = (StudyBean) adapter.findByPK(7);; app/src/test/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapterTest.java:89:        Object bean = adapter.findByPK(404);; app/src/test/java/org/researchedc/module/filter/internal/adapter/FilterDaoAdapterTest.java:48:        FilterBean bean = (FilterBean) adapter.findByPK(7);; app/src/test/java/org/researchedc/module/filter/internal/adapter/FilterDaoAdapterTest.java:64:        Object bean = adapter.findByPK(404);; app/src/test/java/org/researchedc/module/rule/internal/adapter/RuleDaoAdapterTest.java:55:        RuleBean bean = (RuleBean) adapter.findByPK(7);; app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapterTest.java:139:        when(studyDao.findByPK(11)).thenReturn(study);; app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapterTest.java:142:        when(subjectDao.findByPK(31)).thenReturn(subject);; app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapterTest.java:146:        when(studyEventDefinitionDao.findByPK(61)).thenReturn(definition);,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,create,EntityBean create(EntityBean eb),module-backed,,"app/src/test/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapterTest.java:118:        StudyBean result = (StudyBean) adapter.create(input);; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:133:        // If Upsert bean is not present, create one with default settings; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:196:                            // spell out criteria and create a bean if; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:214:                                newEventCrfBean = (EventCRFBean) eventCrfDAO.create(newEventCrfBean);; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:258:        // If Upsert bean is not present, create one with default settings; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:419:        // create a second Validator, this one for hard edit checks; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:512:                            // also need to create a group name checker here for; app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:624:                                // >> TBH #5548 did we create any repeated blank spots? If so, fill them in with an Item",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,update,EntityBean update(EntityBean eb),module-backed,,"app/src/main/java/org/researchedc/web/crfdata/ImportCRFDataService.java:753:        // we statically update the hash map here, so it should not have to be; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:105:        FilterEntity result = service.update(1, ""Updated"", ""Updated desc"");; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:119:        FilterEntity result = service.update(1, ""Updated"", null);; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:129:                () -> service.update(999, ""name"", ""desc""));; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapter.java:54:    public EntityBean update(EntityBean eb) {; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:34:    public EntityBean update(EntityBean eb);; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyParameterValueDaoAdapter.java:95:        int deleted = jdbc.update(delSql, studyId, parameterHandle);; app/src/main/java/org/researchedc/module/study/internal/adapter/StudyParameterValueDaoAdapter.java:100:        jdbc.update(insSql, studyId, parameterHandle, value);",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findAll,Collection findAll(),removed,,"app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:34:        when(filterRepository.findAll()).thenReturn(List.of(f1, f2));; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:45:        when(filterRepository.findAll()).thenReturn(List.of());; app/src/test/java/org/researchedc/module/filter/internal/adapter/FilterDaoAdapterTest.java:75:        ArrayList filters = (ArrayList) adapter.findAll();; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:66:    public Collection<ItemDataBean> findAll();; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:68:    public Collection findAll(String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; app/src/test/java/org/researchedc/module/audit/service/DatabaseChangeLogServiceTest.java:20:        when(port.findAll()).thenReturn(List.of(dto));; app/src/test/java/org/researchedc/module/audit/service/DatabaseChangeLogServiceTest.java:27:        verify(port).findAll();; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:17:    Collection findAll();",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findAll,Collection findAll(String strOrderByColumn; boolean blnAscendingSort; String strSearchPhrase),removed,,"app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:34:        when(filterRepository.findAll()).thenReturn(List.of(f1, f2));; app/src/test/java/org/researchedc/module/filter/service/FilterServiceTest.java:45:        when(filterRepository.findAll()).thenReturn(List.of());; app/src/test/java/org/researchedc/module/filter/internal/adapter/FilterDaoAdapterTest.java:75:        ArrayList filters = (ArrayList) adapter.findAll();; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:66:    public Collection<ItemDataBean> findAll();; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:68:    public Collection findAll(String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:17:    Collection findAll();; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:18:    Collection findAll(String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; app/src/test/java/org/researchedc/module/audit/service/DatabaseChangeLogServiceTest.java:20:        when(port.findAll()).thenReturn(List.of(dto));",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findAllByPermission,Collection findAllByPermission(Object objCurrentUser; int intActionType; String strOrderByColumn; boolean blnAscendingSort; String strSearchPhrase),removed,,"shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:76:    public Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:78:    public Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:19:    Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:20:    Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/ICrfDAO.java:31:    Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/ICrfDAO.java:32:    Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/ISectionDAO.java:31:    public Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/ISectionDAO.java:33:    public Collection findAllByPermission(Object objCurrentUser, int intActionType);",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findAllByPermission,Collection findAllByPermission(Object objCurrentUser; int intActionType),removed,,"shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:76:    public Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IItemDataDAO.java:78:    public Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:19:    Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetDAO.java:20:    Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/ICrfDAO.java:31:    Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/ICrfDAO.java:32:    Collection findAllByPermission(Object objCurrentUser, int intActionType);; shared/src/main/java/org/researchedc/dao/spi/ISectionDAO.java:31:    public Collection findAllByPermission(Object objCurrentUser, int intActionType, String strOrderByColumn, boolean blnAscendingSort, String strSearchPhrase);; shared/src/main/java/org/researchedc/dao/spi/ISectionDAO.java:33:    public Collection findAllByPermission(Object objCurrentUser, int intActionType);",no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findStudySubjectAuditEvents,Collection findStudySubjectAuditEvents(int studySubjectId),module-backed,,app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapterTest.java:143:        when(auditDao.findStudySubjectAuditEvents(21)).thenReturn(new ArrayList<>(List.of(studySubjectAudit)));; app/src/main/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapter.java:79:        audits.addAll(auditDao.findStudySubjectAuditEvents(studySubject.getId()),no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findSubjectAuditEvents,Collection findSubjectAuditEvents(int subjectId),module-backed,,app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapterTest.java:144:        when(auditDao.findSubjectAuditEvents(31)).thenReturn(new ArrayList<>(List.of(subjectAudit)));; app/src/main/java/org/researchedc/module/audit/internal/adapter/AuditStudySubjectEventAdapter.java:83:        audits.addAll(auditDao.findSubjectAuditEvents(subject.getId()),no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findEventCRFAuditEvents,Collection findEventCRFAuditEvents(int eventCRFId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findEventCRFAuditEventsWithItemDataType,Collection findEventCRFAuditEventsWithItemDataType(int eventCRFId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findAllEventCRFAuditEvents,Collection findAllEventCRFAuditEvents(int studyEventId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findAllEventCRFAuditEventsWithItemDataType,Collection findAllEventCRFAuditEventsWithItemDataType(int studyEventId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findEventCRFAudit,Collection findEventCRFAudit(int eventCRFId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findStudyEventAuditEvents,Collection findStudyEventAuditEvents(int studyEventId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findStudySubjectGroupAssignmentAuditEvents,Collection findStudySubjectGroupAssignmentAuditEvents(int studySubjectId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findDeletedEventCRFsFromAuditEvent,List findDeletedEventCRFsFromAuditEvent(int studyEventId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findDeletedEventCRFsFromAuditEventByEventCRFStatus,List findDeletedEventCRFsFromAuditEventByEventCRFStatus(int studyEventId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findItemAuditEvents,ArrayList findItemAuditEvents(int entityId; String auditTable),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,checkItemAuditEventsExist,ArrayList checkItemAuditEventsExist(int itemId; String auditTable; int ecbId),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,findLastStatus,String findLastStatus(String audit_table; int entity_id; String new_value),removed,,,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditDao,getEntityFromHashMap,Object getEntityFromHashMap(HashMap hm),module-backed,,app/src/test/java/org/researchedc/module/study/internal/adapter/StudyDaoAdapterTest.java:237:        StudyBean bean = (StudyBean) adapter.getEntityFromHashMap(row);; app/src/test/java/org/researchedc/module/dataset/internal/adapter/DatasetDaoAdapterTest.java:195:        DatasetBean bean = (DatasetBean) adapter.getEntityFromHashMap(row);; app/src/test/java/org/researchedc/module/datacapture/internal/adapter/ItemGroupDaoAdapterTest.java:194:        ItemGroupBean bean = (ItemGroupBean) adapter.getEntityFromHashMap(row);; app/src/test/java/org/researchedc/module/datacapture/internal/adapter/ItemGroupMetadataDaoAdapterTest.java:157:        ItemGroupMetadataBean bean = (ItemGroupMetadataBean) adapter.getEntityFromHashMap(row);; app/src/test/java/org/researchedc/module/subject/internal/adapter/SubjectDaoAdapterTest.java:154:        SubjectBean bean = (SubjectBean) adapter.getEntityFromHashMap(row);; app/src/test/java/org/researchedc/module/subject/internal/adapter/StudySubjectDaoAdapterTest.java:220:        StudySubjectBean bean = (StudySubjectBean) adapter.getEntityFromHashMap(row);; app/src/test/java/org/researchedc/module/event/internal/adapter/StudyEventDaoAdapterTest.java:184:        StudyEventBean bean = (StudyEventBean) adapter.getEntityFromHashMap(row);; app/src/test/java/org/researchedc/module/event/internal/adapter/EventCrfDaoAdapterTest.java:237:        EventCRFBean bean = (EventCRFBean) adapter.getEntityFromHashMap(row);,no @Primary module adapter found for this SPI; migrate callers or provide module adapter before deletion
AuditUserLoginDao,getCountWithFilter,int getCountWithFilter(AuditUserLoginFilter filter),module-backed,app/src/main/java/org/researchedc/module/audit/internal/adapter/AuditUserLoginDaoAdapter.java,"app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditUserLoginAdapterTest.java:34:        when(dao.getCountWithFilter(any())).thenReturn(41);; shared/src/main/java/org/researchedc/dao/spi/IRuleSetRuleDAO.java:15:    int getCountWithFilter(ViewRuleAssignmentFilter filter);; shared/src/main/java/org/researchedc/dao/spi/IStudySubjectDAO.java:57:    Integer getCountWithFilter(ListDiscNotesSubjectFilter filter, StudyBean study);; shared/src/main/java/org/researchedc/dao/spi/IStudySubjectDAO.java:58:    Integer getCountWithFilter(ListDiscNotesForCRFFilter filter, StudyBean study);; shared/src/main/java/org/researchedc/dao/spi/IStudySubjectDAO.java:61:    Integer getCountWithFilter(ListEventsForSubjectFilter filter, StudyBean study);; shared/src/main/java/org/researchedc/dao/spi/IStudySubjectDAO.java:63:    Integer getCountWithFilter(FindSubjectsFilter filter, StudyBean study);; shared/src/main/java/org/researchedc/dao/spi/IStudySubjectDAO.java:65:    Integer getCountWithFilter(StudyAuditLogFilter filter, StudyBean study);; shared/src/main/java/org/researchedc/dao/spi/ISubjectDAO.java:33:    Integer getCountWithFilter(ListSubjectFilter filter, StudyBean currentStudy);",adapter method implemented; deletion still gated by implementation/support registration and caller migration evidence
AuditUserLoginDao,getWithFilterAndSort,ArrayList<AuditUserLoginBean> getWithFilterAndSort(AuditUserLoginFilter filter; AuditUserLoginSort sort; int rowStart; int rowEnd),module-backed,app/src/main/java/org/researchedc/module/audit/internal/adapter/AuditUserLoginDaoAdapter.java,"app/src/test/java/org/researchedc/module/audit/internal/adapter/AuditUserLoginAdapterTest.java:35:        when(dao.getWithFilterAndSort(any(), any(), eq(20), eq(40))); shared/src/main/java/org/researchedc/dao/spi/IRuleSetRuleDAO.java:16:    ArrayList<RuleSetRuleBean> getWithFilterAndSort(ViewRuleAssignmentFilter filter, ViewRuleAssignmentSort sort, int rowStart, int rowEnd);; app/src/main/java/org/researchedc/module/audit/internal/adapter/AuditUserLoginAdapter.java:37:        List<AuditUserLoginDTO> rows = auditUserLoginDao.getWithFilterAndSort(filter, toSort(pageable), rowStart, rowEnd); app/src/main/java/org/researchedc/module/audit/internal/adapter/AuditUserLoginDaoAdapter.java:56:    public ArrayList<AuditUserLoginBean> getWithFilterAndSort(; shared/src/main/java/org/researchedc/dao/spi/IDiscrepancyNoteDAO.java:34:    ArrayList<DiscrepancyNoteBean> getWithFilterAndSort(StudyBean currentStudy, ListNotesFilter filter, ListNotesSort sort, int rowStart, int rowEnd);; shared/src/main/java/org/researchedc/dao/spi/IStudySubjectDAO.java:59:    ArrayList getWithFilterAndSort(StudyBean study, ListDiscNotesForCRFFilter filter, ListDiscNotesForCRFSort sort, int rowStart, int rowLength);; shared/src/main/java/org/researchedc/dao/spi/IStudySubjectDAO.java:60:    ArrayList getWithFilterAndSort(StudyBean study, ListDiscNotesSubjectFilter filter, ListDiscNotesSubjectSort sort, int rowStart, int rowLength);; shared/src/main/java/org/researchedc/dao/spi/IStudySubjectDAO.java:62:    ArrayList getWithFilterAndSort(StudyBean study, ListEventsForSubjectFilter filter, ListEventsForSubjectSort sort, int rowStart, int rowLength);",adapter method implemented; deletion still gated by implementation/support registration and caller migration evidence
